"gene_id","region","isoform_id","correlation_repif","correlation_raw","p_value_repif","p_value_raw","n","adj_p_value_repif","adj_p_value_raw","tissue"
"Bcat1","gene_body","NM_007532",0.918685037595529,0.94087644360666,0.00126351919692208,0.00049403995442571,8,0.0502133646001193,0.0471505731103109,"ForeBrain"
"Btbd3","gene_body","NM_001025431",0.924884689972553,0.892717406935262,0.00100076451710617,0.002843885623214,8,0.0443727407791295,0.0599968890154149,"ForeBrain"
"Btbd3","gene_body","NM_145534",-0.924884689972553,-0.889069349875019,0.00100076451710618,0.0031350447770851,8,0.0443727407791295,0.0609447179991043,"ForeBrain"
"C2cd5","gene_body","NM_001109688",-0.947205811152297,-0.920008601852902,0.000353461008228918,0.0012040483207621,8,0.0351170057249657,0.05069094593644,"ForeBrain"
"C2cd5","gene_body","NM_029897",0.942452327154359,0.866247928347016,0.000456129015635296,0.0053979134298514,8,0.0388433677600534,0.075534609526475,"ForeBrain"
"Cadm1","gene_body","NM_018770",0.935390800349049,0.934942321843536,0.000642003277954947,0.000655239962687784,8,0.0409444844296338,0.0496123881882797,"ForeBrain"
"Cadm1","gene_body","NM_207675",0.953140245442438,0.905680973083196,0.000248284954405369,0.00195208499915556,8,0.0317482365416138,0.0509852371120725,"ForeBrain"
"Cadm1","gene_body","NM_207676",-0.963210812055618,-0.972452725442678,0.000121070921183923,5.11870011955241e-05,8,0.0281804409310216,0.0383675972508641,"ForeBrain"
"Cadps","gene_body","NM_001042617",-0.9272245370864,-0.920078954806605,0.000911766805603572,0.00120093939451203,8,0.0440262633818279,0.05069094593644,"ForeBrain"
"Cadps","gene_body","NM_012061",0.9272245370864,-0.713573675312927,0.000911766805603576,0.0468491817690081,8,0.0440262633818279,0.205829295141568,"ForeBrain"
"Camta1","gene_body","NM_001081557",-0.929242791303823,-0.915326675585891,0.000839296113541682,0.00142293070114568,8,0.0440262633818279,0.05069094593644,"ForeBrain"
"Camta1","gene_body","NM_001195565",0.929242791303823,0.895196752173498,0.000839296113541682,0.00265636142512412,8,0.0440262633818279,0.0584072911712741,"ForeBrain"
"Celsr2","gene_body","NM_001004177",0.954271861189047,0.939732841474715,0.000230927473364498,0.000522807899995593,8,0.0317482365416138,0.047766345143529,"ForeBrain"
"Celsr2","gene_body","NM_017392",-0.954271861189047,0.78591946285818,0.000230927473364498,0.0207588445929646,8,0.0317482365416138,0.135488079368923,"ForeBrain"
"Comt","downstream","NM_007744",-0.881340152509647,-0.930362814567432,0.00381397516040196,0.000800757009965023,8,0.0775074876346837,0.0496123881882797,"ForeBrain"
"Cryab","gene_body","NM_009964",-0.252087289996372,-0.948936188479465,0.546979129571474,0.000320255701233882,8,0.767308413528113,0.0386753512876823,"ForeBrain"
"Ctnna2","gene_body","NM_145732",-0.390139297578564,-0.936000219305083,0.339327593184,0.000624299060425352,8,0.605376285698265,0.0496123881882797,"ForeBrain"
"Dab2ip","gene_body","NM_001114124",0.931744082896293,0.475796206393361,0.00075484720163564,0.233377753431377,8,0.042516116174293,0.479353616829761,"ForeBrain"
"Dab2ip","gene_body","NM_001114125",-0.940826136399149,-0.850063627545771,0.00049528305590069,0.00750757442056155,8,0.0400102831174441,0.0856981633325803,"ForeBrain"
"Dhx32","gene_body","NM_001286030",0.972420955952413,0.927170258950735,5.13630673041287e-05,0.00091377022749665,8,0.0187017672181655,0.05069094593644,"ForeBrain"
"Dhx32","gene_body","NM_133941",-0.955262903634753,-0.390384311452943,0.000216399571050499,0.338997473111767,8,0.0313779378023223,0.583559600887654,"ForeBrain"
"Dlgap4","gene_body","NM_001277186",-0.973109125763113,-0.918812385468588,4.76380962177132e-05,0.0012577157000109,8,0.0187017672181655,0.05069094593644,"ForeBrain"
"Ece2","gene_body","NM_139293",-0.941479205305154,-0.872977974114386,0.000479304515670026,0.00464791284350098,8,0.0396897055646312,0.0720228706528438,"ForeBrain"
"Ednrb","gene_body","NM_007904",-0.793210795489007,-0.958499072231551,0.0188199141537656,0.000173179568090138,8,0.148265549831061,0.0383675972508641,"ForeBrain"
"Eml1","gene_body","NM_001286347",-0.933255445123792,-0.896517083624808,0.000706626342005397,0.00255985399184092,8,0.0409444844296338,0.0572234027759438,"ForeBrain"
"Enpp5","upstream","NM_032003",-0.649556894611586,-0.932640501166894,0.0812977125049637,0.000725995180843992,8,0.29915104772917,0.0496123881882797,"ForeBrain"
"Erbb2ip","upstream","NM_001005868",-0.924544938085939,-0.374402185715011,0.0010141401889395,0.360840300611671,8,0.0445972304398395,0.602711149682944,"ForeBrain"
"Etv1","gene_body","NM_007960",0.736356698479993,-0.931775070476001,0.0372320648455249,0.000753837533832003,8,0.203868558737021,0.0496123881882797,"ForeBrain"
"Fam19a5","gene_body","NM_001252310",-0.459324497475324,-0.955217574424877,0.252234274798567,0.000217050532432497,8,0.525324877443444,0.0383675972508641,"ForeBrain"
"Fip1l1","gene_body","NM_001159574",0.936132740929413,0.930096880798467,0.000620492033747966,0.000809800428012452,8,0.0409444844296338,0.0496123881882797,"ForeBrain"
"Fn1","gene_body","NM_001276410",-0.867827590692652,-0.939197814294525,0.00521538434813278,0.000536635666050241,8,0.0896947770515312,0.047766345143529,"ForeBrain"
"Frmd4a","gene_body","NM_001177844",0.956121624504559,0.866201562112293,0.000204309584661481,0.00540333197336668,8,0.0313779378023223,0.075534609526475,"ForeBrain"
"Fut10","gene_body","NM_134161",-0.937047458843551,-0.0582154828634251,0.000594628696536937,0.891092337318959,8,0.0408997814989829,0.958250228445824,"ForeBrain"
"Gnal","gene_body","NM_010307",-0.942848894701546,-0.93811439180602,0.00044689975393919,0.000565366833020711,8,0.0386712448368348,0.0481459215739066,"ForeBrain"
"Gnal","gene_body","NM_177137",0.942848894701546,-0.806422297403001,0.00044689975393919,0.0156036201239031,8,0.0386712448368348,0.120726011045529,"ForeBrain"
"Gpm6b","gene_body","NM_001177956",-0.974778762825591,-0.963555753113348,3.93538864302705e-05,0.000117728061630366,8,0.0187017672181655,0.0383675972508641,"ForeBrain"
"Gpm6b","gene_body","NM_001177958",0.922565316065991,0.695275079369552,0.00109440219281755,0.0555579834744692,8,0.0462320296414659,0.2217995742053,"ForeBrain"
"Gpm6b","gene_body","NM_001177962",-0.935178458035848,-0.981149977049832,0.000648248425979501,1.65087988858507e-05,8,0.0409444844296338,0.0377205313180457,"ForeBrain"
"Gpr19","gene_body","NM_008157",-0.816435100134724,-0.960336714238556,0.0134127770689956,0.000151389750882532,8,0.131152297865663,0.0383675972508641,"ForeBrain"
"Gtf2i","gene_body","NM_001080746",-0.934547976845902,-0.593220941869169,0.000667025567815737,0.121112521533488,8,0.0409444844296338,0.337542170403722,"ForeBrain"
"Gtf2i","gene_body","NM_001080747",0.929097553709312,0.969689070161561,0.000844380679607162,6.80474996498116e-05,8,0.0440262633818279,0.0383675972508641,"ForeBrain"
"Gtf2i","gene_body","NM_001080749",0.945559517171161,0.966935890545632,0.000387081647325339,8.81410191848761e-05,8,0.0364332111912358,0.0383675972508641,"ForeBrain"
"Gtf2i","gene_body","NM_010365",0.642862466872909,0.960722830728251,0.0855554544910874,0.000147054552754722,8,0.307438053144463,0.0383675972508641,"ForeBrain"
"Hdac7","upstream","NM_001204281",0.802554147497948,0.952277602704042,0.016506368495341,0.000262078519769164,8,0.142833333834684,0.0383675972508641,"ForeBrain"
"Hs6st2","gene_body","NM_001077202",-0.919806535859977,-0.914893514811781,0.00121300688244241,0.00144439668283682,8,0.049677724613004,0.05069094593644,"ForeBrain"
"Hs6st2","gene_body","NM_001290467",0.97225518764574,0.883948054129043,5.22882587646753e-05,0.00357527525323904,8,0.0187017672181655,0.0639914609864655,"ForeBrain"
"Hs6st2","gene_body","NM_001290468",-0.947207093734771,-0.915751140639698,0.000353435594273384,0.00140209830114333,8,0.0351170057249657,0.05069094593644,"ForeBrain"
"Ica1","gene_body","NM_001252266",0.946489325200301,-0.835978545683053,0.000367846509205071,0.00971913104696686,8,0.0352410093193788,0.0981980001261341,"ForeBrain"
"Ica1","gene_body","NM_010492",-0.946489325200301,-0.901374818075144,0.000367846509205072,0.00222439939303991,8,0.0352410093193788,0.0543751224110865,"ForeBrain"
"Kcnip1","gene_body","NM_001190886",-0.934120016093597,-0.91901187379731,0.000679972016236412,0.00124865960622052,8,0.0409444844296338,0.05069094593644,"ForeBrain"
"Kcnip1","gene_body","NM_001290690",0.657390461790659,-0.957154709822876,0.0764756628712926,0.000190365420192515,8,0.290575022170315,0.0383675972508641,"ForeBrain"
"Kif1a","gene_body","NM_001110315",0.816319828058387,-0.944268262867821,0.0134368201194785,0.000414873382835248,8,0.131152297865663,0.0428037634405981,"ForeBrain"
"Kif1b","gene_body","NM_001290995",-0.947945971893908,-0.755169021789445,0.000338993802810973,0.0302821558563016,8,0.0351170057249657,0.167488418730988,"ForeBrain"
"Kif1b","gene_body","NM_008441",0.977003764782802,0.910429492250167,2.9880618909428e-05,0.00167800740748666,8,0.0187017672181655,0.05069094593644,"ForeBrain"
"Kirrel3","gene_body","NM_001190911",-0.332630886035398,-0.95003014554259,0.420794297052374,0.000300361432346,8,0.673095230675607,0.0383675972508641,"ForeBrain"
"Kirrel3","gene_body","NM_001190913",0.637106032871384,-0.935639413289378,0.0893179737518908,0.000634741640389049,8,0.314842923245003,0.0496123881882797,"ForeBrain"
"Lamp2","gene_body","NM_010685",0.927108801866778,0.759944731103769,0.000916042097595491,0.0286562917782259,8,0.0440262633818279,0.160985345958305,"ForeBrain"
"Lzts3","gene_body","NM_001291027",0.464861888300035,0.929984379171476,0.245812288865036,0.000813646211572864,8,0.519867487012372,0.0496123881882797,"ForeBrain"
"Macrod2","gene_body","NM_001013802",-0.922979983860991,-0.831550041518887,0.00107725864928899,0.0104907636367356,8,0.0460829773051014,0.101837507734784,"ForeBrain"
"Macrod2","gene_body","NM_028387",0.922979983860991,-0.523095213054107,0.00107725864928899,0.183426675991594,8,0.0460829773051014,0.420548767818333,"ForeBrain"
"Mapt","gene_body","NM_010838",-0.970819506870973,-0.926553272002009,6.07665180824391e-05,0.000936745967150291,8,0.019177198206605,0.05069094593644,"ForeBrain"
"Mat2b","gene_body","NM_001199274",0.783932811048319,0.942395603548814,0.0213078042676315,0.000457459276114482,8,0.155933330702174,0.0454494262287814,"ForeBrain"
"Mbp","upstream","NM_001025254",0.381477111259392,0.961777263705267,0.351093866216992,0.000135634891249148,8,0.615157480232326,0.0383675972508641,"ForeBrain"
"Mbp","upstream","NM_001025255",0.866818478303507,0.974907001340008,0.00533152179877919,3.87604044846199e-05,8,0.0910943135364661,0.0377205313180457,"ForeBrain"
"Mbp","upstream","NM_001025259",0.957180601030278,0.977084216866097,0.000190024263933971,2.95699023240735e-05,8,0.0313779378023223,0.0377205313180457,"ForeBrain"
"Mbp","upstream","NM_010777",-0.727689431179168,0.955222424103889,0.0407331362769055,0.000216980825861154,8,0.211758339695519,0.0383675972508641,"ForeBrain"
"Megf11","gene_body","NM_001134399",-0.459453885986902,-0.932480205603735,0.252083263762318,0.00073110046186759,8,0.525214256343625,0.0496123881882797,"ForeBrain"
"Meis2","gene_body","NM_001159569",-0.965031655064818,-0.79698627757502,0.000104113032251831,0.0178621750283415,8,0.0253893826377761,0.126721359595814,"ForeBrain"
"Mettl8","gene_body","NM_145524",-0.376995238446859,0.932295825218795,0.357253994441718,0.000737001823917289,8,0.620682538918335,0.0496123881882797,"ForeBrain"
"Mgat1","downstream","NM_001110150",0.920320985978693,0.852282120290834,0.00119028394252588,0.00719183926667427,8,0.0491221027050103,0.0846028069339466,"ForeBrain"
"Mon2","gene_body","NM_153395",0.93319926327744,0.788270449885993,0.00070838167830967,0.0201206971470322,8,0.0409444844296338,0.133379634144401,"ForeBrain"
"Mta3","gene_body","NM_054082",-0.878103482806539,-0.933997105807439,0.00412420255001539,0.000683720414184493,8,0.0799084040369149,0.0496123881882797,"ForeBrain"
"Mtcl1","gene_body","NM_001114098",-0.926484686804944,-0.545160584025849,0.000939323051495865,0.162293775528219,8,0.0440262633818279,0.396315933413242,"ForeBrain"
"Mtcl1","gene_body","NM_172963",0.926484686804944,0.906118971160459,0.000939323051495865,0.00192566980429012,8,0.0440262633818279,0.0509852371120725,"ForeBrain"
"Mtss1","gene_body","NM_001146180",-0.947656123954233,-0.952031676191637,0.000344611848228478,0.000266101200672295,8,0.0351170057249657,0.0383675972508641,"ForeBrain"
"Mtss1","gene_body","NM_144800",0.947656123954233,-0.469137693180011,0.000344611848228478,0.24091074080606,8,0.0351170057249657,0.486445662184611,"ForeBrain"
"Myadm","upstream","NM_001093765",0.921467911683398,0.82637042923793,0.00114062884372709,0.0114411983616087,8,0.0474377809813629,0.105831084844881,"ForeBrain"
"Myo18a","gene_body","NM_011586",0.935680486014185,0.604692861836094,0.000633547169082706,0.112267584279508,8,0.0409444844296338,0.323304127568203,"ForeBrain"
"Myt1","gene_body","NM_001171615",0.974122653829021,0.656471499503307,4.24846496336127e-05,0.0770324264986857,8,0.0187017672181655,0.26323501157035,"ForeBrain"
"Myt1l","gene_body","NM_001093776",-0.933155363047422,-0.94673971770983,0.000709755275294677,0.000362776257589263,8,0.0409444844296338,0.0412538514694137,"ForeBrain"
"Ncald","gene_body","NM_001170868",0.944152370415127,-0.915065329436869,0.00041742991254619,0.00143585707650214,8,0.0386122669105226,0.05069094593644,"ForeBrain"
"Nfix","downstream","NM_001081982",-0.864510489429556,0.946948954141701,0.00560334807080322,0.000358574793754141,8,0.0929276714785987,0.0412538514694137,"ForeBrain"
"Nfix","downstream","NM_001297601",0.680434655210207,0.976282565522958,0.0632822101477866,3.27631496821781e-05,8,0.260565195000894,0.0377205313180457,"ForeBrain"
"Nlrx1","downstream","NM_001163742",-0.922857980436982,-0.900333132462824,0.0010822842759446,0.00229377219447147,8,0.0460829773051014,0.0545286709503919,"ForeBrain"
"Nlrx1","downstream","NM_001163743",0.928046478646665,0.448048123639467,0.00088177883618682,0.265569204271423,8,0.0440262633818279,0.512141905433568,"ForeBrain"
"Olfm1","gene_body","NM_001038614",-0.737860819744624,-0.953579221835995,0.0366439110947511,0.000241453206287434,8,0.202049931164789,0.0383675972508641,"ForeBrain"
"Pax6","gene_body","NM_001310144",-0.922314138183828,0.0240780699267623,0.00110487268524767,0.954871065032633,8,0.0463097027840137,0.982146139783487,"ForeBrain"
"Pcdh10","gene_body","NM_001098170",-0.830683372973613,-0.970058827503272,0.0106461669745407,6.56058435771634e-05,8,0.124437224005252,0.0383675972508641,"ForeBrain"
"Pde4b","gene_body","NM_001177981",-0.950856218274741,-0.910188491635419,0.00028589031604858,0.00169127293991105,8,0.0335101138743959,0.05069094593644,"ForeBrain"
"Pde4b","gene_body","NM_001177983",0.958424462845572,-0.546221783340729,0.000174105376380256,0.161312601588724,8,0.0311358448093357,0.394998679837292,"ForeBrain"
"Pdlim7","gene_body","NM_001114087",0.938598455784428,0.934629612979569,0.000552408506596448,0.000664574443232611,8,0.0408997814989829,0.0496123881882797,"ForeBrain"
"Pdlim7","gene_body","NM_001114088",0.975385525877777,0.950314522097606,3.6598183261395e-05,0.000295326621089737,8,0.0187017672181655,0.0383675972508641,"ForeBrain"
"Pdlim7","gene_body","NM_026131",-0.937175951484844,-0.912259615152125,0.000591053263656089,0.00157947412986167,8,0.0408997814989829,0.05069094593644,"ForeBrain"
"Pdlim7","gene_body","NR_104287",-0.9432914353346,-0.93957729923241,0.000436746314703348,0.000526803485427167,8,0.0386712448368348,0.047766345143529,"ForeBrain"
"Pitpnb","gene_body","NM_001301643",-0.971090325972678,-0.884215869819201,5.91024075526873e-05,0.00355132340328392,8,0.019177198206605,0.0639914609864655,"ForeBrain"
"Pitpnb","gene_body","NM_019640",0.958649102393624,0.964187779026187,0.000171327723808324,0.000111762296674058,8,0.0311358448093357,0.0383675972508641,"ForeBrain"
"Pnoc","gene_body","NM_001205075",0.967881365061323,-0.924937512156188,8.0851917957638e-05,0.000998695374305191,8,0.0228300284127756,0.05069094593644,"ForeBrain"
"Pnoc","gene_body","NM_010932",-0.967881365061323,-0.944444808562611,8.08519179576396e-05,0.000410998675933008,8,0.0228300284127756,0.0428037634405981,"ForeBrain"
"Ppm1h","gene_body","NM_001110218",-0.749467435498485,-0.969071685972325,0.0322959716353013,7.22569892245232e-05,8,0.188060906984706,0.0383675972508641,"ForeBrain"
"Ppp4r1","downstream","NM_146081",0.813691613893677,0.936455574792495,0.0139923904166481,0.000611281551802541,8,0.131780989331683,0.0496123881882797,"ForeBrain"
"Psap","downstream","NM_011179",-0.957587448581662,-0.918351766207325,0.000184716239267195,0.00127878961125958,8,0.0313779378023223,0.05069094593644,"ForeBrain"
"Psap","gene_body","NM_001146120",0.966254758997976,0.297136783421334,9.36527856591347e-05,0.474792801846833,8,0.0239260569076789,0.696354122992963,"ForeBrain"
"Psap","gene_body","NM_011179",-0.989334370820281,-0.946428107091659,3.00897744380594e-06,0.000369093172512928,8,0.00807158199300943,0.0412538514694137,"ForeBrain"
"Rad51b","gene_body","NM_009014",-0.46021856026864,0.940597949450608,0.251191731801795,0.000500947375076928,8,0.524459321254905,0.0471505731103109,"ForeBrain"
"Ralyl","gene_body","NM_001163330",0.937250724105096,-0.634511072295084,0.000588979144941653,0.0910448322928821,8,0.0408997814989829,0.288817818776067,"ForeBrain"
"Rap1gap","gene_body","NM_029563",-0.608108559172973,-0.959245079924921,0.109707246539887,0.00016410050118421,8,0.34889115452667,0.0383675972508641,"ForeBrain"
"Rapgef4","gene_body","NM_001204166",0.959751066547465,-0.726637301601162,0.000158124832086216,0.0411712056729983,8,0.0302978472908054,0.194959265827606,"ForeBrain"
"Rapgef4","gene_body","NM_001204167",0.962707163283288,-0.953121275930681,0.000126063482263657,0.000248583009040713,8,0.0281804409310216,0.0383675972508641,"ForeBrain"
"Rapgef4","gene_body","NM_019688",-0.974956452497295,-0.923285610073524,3.85331403659817e-05,0.00106473609107738,8,0.0187017672181655,0.05069094593644,"ForeBrain"
"Rara","upstream","NM_001176528",-0.966749050719763,-0.848909008837189,8.96309814821554e-05,0.00767533716320423,8,0.0239260569076789,0.0861468282020726,"ForeBrain"
"Rbl1","gene_body","NM_011249",0.142520812172544,0.93275637429502,0.736370062286876,0.000722319290238282,8,0.872148120258268,0.0496123881882797,"ForeBrain"
"Rcan1","gene_body","NM_001081549",-0.926365787999755,-0.873632891059503,0.000943801637307423,0.00457874226936545,8,0.0440262633818279,0.0718139200029775,"ForeBrain"
"Rcan1","gene_body","NM_019466",0.926365787999755,0.802730688535927,0.000943801637307423,0.0164644723788927,8,0.0440262633818279,0.123887649807517,"ForeBrain"
"Rph3a","gene_body","NM_011286",0.926992181625637,-0.957263486387056,0.000920363315940823,0.000188934833586171,8,0.0440262633818279,0.0383675972508641,"ForeBrain"
"Scg3","upstream","NM_009130",-0.741406142969412,-0.950272288142668,0.0352801266309711,0.000296070823339042,8,0.196959291753549,0.0383675972508641,"ForeBrain"
"Sema6d","gene_body","NM_199238",0.973583955500162,0.874980112544367,4.5175098920799e-05,0.00443854156891033,8,0.0187017672181655,0.0717451610193162,"ForeBrain"
"Sesn1","gene_body","NM_001013370",-0.708194360878753,-0.933409670558997,0.0493170272192776,0.000701822395545121,8,0.229476019975216,0.0496123881882797,"ForeBrain"
"Sez6l","gene_body","NM_019982",-0.346777801968206,-0.949127202265526,0.400038197124535,0.000316721391398231,8,0.656331782132455,0.0386753512876823,"ForeBrain"
"Sgk1","gene_body","NM_011361",0.155056900918592,-0.954703250779486,0.713894671414283,0.000224527177971272,8,0.860263353602078,0.0383675972508641,"ForeBrain"
"Sh3gl3","gene_body","NM_001277954",-0.807218649948996,-0.930734429577662,0.0154217090223359,0.000788230830502765,8,0.139838237000242,0.0496123881882797,"ForeBrain"
"Sh3gl3","gene_body","NM_017400",0.825471918988136,-0.954343166770823,0.011611406711143,0.000229861367681256,8,0.126059278766753,0.0383675972508641,"ForeBrain"
"Shtn1","gene_body","NM_001114312",0.953123907514741,-0.549548515333145,0.000248541646737704,0.158257723127853,8,0.0317482365416138,0.391838119698642,"ForeBrain"
"Shtn1","gene_body","NM_175172",-0.953123907514741,-0.901271451571862,0.000248541646737704,0.00223122158102455,8,0.0317482365416138,0.0543751224110865,"ForeBrain"
"Sirt2","gene_body","NM_022432",0.955337999871908,-0.452035580193015,0.000215323966055229,0.26081457256292,8,0.0313779378023223,0.506248256801761,"ForeBrain"
"Skap1","gene_body","NM_001177899",-0.93445884831623,-0.861623901782796,0.000669708405620498,0.00595561307892834,8,0.0409444844296338,0.078893491773952,"ForeBrain"
"Slc25a13","gene_body","NM_001177572",0.321425409629173,0.974184010569673,0.437550589339299,4.21851235616541e-05,8,0.684044410569561,0.0377205313180457,"ForeBrain"
"Slc25a25","gene_body","NM_001164358",-0.949502271132054,-0.903224319905905,0.00030985637765452,0.00210461033358675,8,0.0351170057249657,0.0530104903271967,"ForeBrain"
"Slc25a44","gene_body","NM_001281795",-0.717161893224328,-0.954741995107304,0.0452453279578444,0.000223958138718588,8,0.221020505916716,0.0383675972508641,"ForeBrain"
"Slc38a3","gene_body","NM_001199217",-0.86536027518925,-0.943092122487198,0.00550225473883342,0.000441300289974262,8,0.0929276714785987,0.0446712463341871,"ForeBrain"
"Slc39a11","gene_body","NM_001166503",-0.80872640081444,-0.931634020332112,0.0150809537682835,0.000758440522885968,8,0.137835292958844,0.0496123881882797,"ForeBrain"
